 SNR/ant/scan	rms/theoretica	tgt	mous	pid	    #EB #scan #pt
  1961   5.21           CN13   uid___A001_X1465_X1c8c 2019.1.01031.S 2  3  46
  2128  15.29     PKS0625-35   uid___A001_X1465_X1dc3 2019.1.01022.S 1  3   1
   832  53.00           CygA   uid___A001_X1465_X208d 2019.1.00894.S 2 34   1
  6615 140.00  HB89_0420-014   uid___A001_X1465_X266a 2019.1.00743.S 1  5   1
 10307 161.02  HB89_1741-038   uid___A001_X1465_X2676 2019.1.00743.S 1  1   1
  7028 168.52  HB89_1749+096   uid___A001_X1465_X267a 2019.1.00743.S 1  1   1
  3549 100.00  HB89_1741-038   uid___A001_X1465_X268a 2019.1.00743.S 1  1   1
  2480 124.68    I19078+0901   uid___A001_X1465_X2881 2019.1.00685.S 1  2   1
  1859 161.76    I19078+0901   uid___A001_X1465_X2883 2019.1.00685.S 1  5   1
 18741 484.85          3C273   uid___A001_X1465_X29a0 2019.1.00634.S 1  1   1
  3439 100.00          3C273   uid___A001_X1465_X29a3 2019.1.00634.S 1  1   1
  1435  79.41          3C273   uid___A001_X1465_X29a7 2019.1.00634.S 1  7   1
  1136  59.68    G34.30+0.20   uid___A001_X1465_X3590 2019.1.00246.S 2  8   1
  1803  57.14     J1717-3342   uid___A001_X1465_X38dc 2019.1.00120.S 2  6   1
  4093  41.90   PKS_0208-512    uid___A001_X1465_X44b 2019.1.01709.S 1  6   1
  2020 104.35      sgra_star    uid___A001_X1465_X81a 2019.1.01559.S 2 46   1
  1601  88.00      sgra_star    uid___A001_X1465_X81e 2019.1.01559.S 1 16   1
  1811 108.33       NCG6334I    uid___A001_X1465_Xc94 2019.1.01446.S 3  5   1
  1327  72.00            W28    uid___A001_X1465_Xe7f 2019.1.01400.S 2  6 128
  5310 283.95          3C345    uid___A001_X1468_X144 2019.1.01809.S 1  1   1
  7454 166.67        eta_Car    uid___A001_X1471_X305 2019.1.00796.S 2 16   2
 10308 308.33    Eta_Carinae    uid___A001_X1471_X309 2019.1.00796.S 4 21   2
  6790 231.03        eta_Car    uid___A001_X1471_X30f 2019.1.00796.S 3 16   2
   539  48.67    Eta_Carinae    uid___A001_X1471_X313 2019.1.00796.S 3 47   2
  2940  24.19    Centaurus_A    uid___A001_X14c3_X613 2019.2.00031.S 2  4  12
  2006 604.65       Orion-KL    uid___A001_X14c3_Xb68 2019.2.00112.S 1  6   1
  2028 568.63       Orion-KL    uid___A001_X14c3_Xb74 2019.2.00112.S 1  5   1
  5130 321.43     J1408-0752    uid___A001_X14d7_X17c 2019.1.01422.S 2  5   1
  8102 152.17     J0501-0159    uid___A001_X14d7_X184 2019.1.01422.S 2  5   1
  2192  43.00     J1432-1801    uid___A001_X14d7_X188 2019.1.01422.S 1  5   1
  3925  76.36     J2358-1020    uid___A001_X14d7_X18c 2019.1.01422.S 1  3   1
  2352  92.31     J2031+1219    uid___A001_X14d7_X190 2019.1.01422.S 1  4   1

